<<<<<<< HEAD
04-69,1,306642022,全教412,教職実践演習（高）,2,０－２,選,,〇岡崎・當間,,10,4,,,,,集中,〇,"教員免許（情報）
情報工学科：情497「教職実践演習」と合併授業．"
04-1,1,618000002,機械991,材料生産工学概論,2,２－０,選,,"複数教員
（〇藤川・神田）",,50,3・４,木,5,,工1-221,半年,,"※機械工学コース・エネルギー環境工学コース学生は履修不可
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-2,1,618003002,エネ992,環境エネルギー工学概論,2,２－０,選,,天久　和正,,50,3・４,金,5,,工4-212,半年,,"※機械工学コース・エネルギー環境工学コース学生は履修不可
旧「（エネ992）環境工学概論」と同じ
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-5,1,618014002,社基997,都市地域計画,2,2－0,選,,安藤　徹哉,,30,3・４,金,4,,工1-222,半年,,"※社会基盤デザインコースの学生は履修不可
環1300「土木計画」・社基901「都市地域計画」との合併講義
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
,1,618016002,知能991,コンピュータサイエンス基礎,2,２－０,選,,名嘉村盛和,,60,3・４,金,5,,工1-321,半年,,"※知能情報コース学生は履修不可
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
,1,618018002,機械981,機器構造学,2,２－０,選,非,真壁　朝敏,,20,3・4,水,3,,工4-211,半年,,"※機械工学コース・エネルギー環境工学コース学生は履修不可
履修条件：材料生産工学概論を受講済みのこと
機403「特別講義Ⅲ」と合併
エネ494「エネルギー環境工学特別講義Ⅲ」と合併
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-5,1,618021002,エネ983,熱機関工学,2,２－０,選,,瀬名波　出,,20,3・4,月,1,,工4-211,半年,,"※機械工学コース・エネルギー環境工学コース学生は履修不可
機325　熱機関工学と合併
機械345　熱機関工学と合併
エネ317　熱機関工学と合併
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-1,1,618022002,エネ981,エネルギー移動工学,2,２－０,選,,松田　昇一,,20,3・4,月 ,3,,工4-111,半年,,"※機械工学コース・エネルギー環境工学コース学生は履修不可
エネ315　エネルギー移動工学と合併
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-2,1,618024002,電気981,パワーエレクトロニクス,2,２－０,選,,千　住　智　信,,50,3・4,木,3,,工4-111,半年,,"電気システム工学コース・電子情報通信コース以外の学生用。電気328・電情328「パワーエレクトロニクス」と合併授業。電気システム工学コース・電子情報通信コースの学生は（電気328・電情328）にて登録すること。
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
,,618026002,電情981,電気電子計測工学Ⅰ,2,２－０,選,,"藤井　智史
比嘉 広樹",,30,3・４,"金
火","2
4",,"工2-313
4-111",半年,,"電気システム工学コース・電子情報通信コース以外の学生用。
電気206・電情206「電気電子計測工学Ⅰ」と合併授業。電気システム工学コース・の学生は（電気206）、電子情報通信コースの学生は(電気206・電情206)にて登録すること。
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-3,1,618029002,社基982,維持管理工学,2,2-0,選,,富山　潤,,20,3・４,火,2,,工1-222,半年,,"※社会基盤デザインコースの学生は履修不可
社基312との合併講義
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-4,1,618030002,社基983,腐食防食と疲労,2,２－０,選,　,○下里　哲弘　　　　田井政行,,25,3・4,金,5,,工1-222,半年,,"※社会基盤デザインコースの学生は履修不可
社基320との合併講義
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-5,1,618031002,社基984,減災計画,2,２－０,選,,神谷大介,,20,3・4,月,4,,工1-222,半年,,"※社会基盤デザインコースの学生は履修不可
社基340との合併講義
登録は社会基盤デザインコースの学生を優先する
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-6,1,618032002,社基985,環境衛生工学,2,２－０,選,熱,新里尚也,,20,3・4,月,2,,工2-414,半年,,"※社会基盤デザインコースの学生は履修不可
環1306・社基370との合併講義
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
04-7,1,618036002,建築983,耐震設計概論,2,２－０,選,,中　田　幸　造,,50,3・4,木,5,,工1-222,半年,,"建築351，環2332との合併授業
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
,1,618039002,知能981,ネットワークセキュリティ,2,２－０,選,総,新任,,45,3,木,5,,工1-322,半年,,"知能331との合併授業．
※今学期開講の融合科目は適用便覧になくても融合科目として卒業要件に含むことが出来る。"
